,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
360,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,20-24,17
361,Sant Martí,2015,10,70,el Besòs i el Maresme,20-24,101
362,Sant Martí,2015,10,71,Provençals del Poblenou,20-24,27
363,Sant Martí,2015,10,72,Sant Martí de Provençals,20-24,49
364,Sant Martí,2015,10,73,la Verneda i la Pau,20-24,58
365,Ciutat Vella,2015,1,1,el Raval,25-29,342
366,Ciutat Vella,2015,1,2,el Barri Gòtic,25-29,90
367,Ciutat Vella,2015,1,3,la Barceloneta,25-29,100
368,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",25-29,140
369,Eixample,2015,2,5,el Fort Pienc,25-29,139
370,Eixample,2015,2,6,la Sagrada Família,25-29,220
371,Eixample,2015,2,7,la Dreta de l'Eixample,25-29,162
372,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,25-29,188
373,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,25-29,238
374,Eixample,2015,2,10,Sant Antoni,25-29,183
375,Sants-Montjuïc,2015,3,11,el Poble Sec,25-29,214
376,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,25-29,3
377,Sants-Montjuïc,2015,3,13,la Marina de Port,25-29,116
378,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,25-29,59
379,Sants-Montjuïc,2015,3,15,Hostafrancs,25-29,79
380,Sants-Montjuïc,2015,3,16,la Bordeta,25-29,105
381,Sants-Montjuïc,2015,3,17,Sants - Badal,25-29,158
382,Sants-Montjuïc,2015,3,18,Sants,25-29,230
383,Les Corts,2015,4,19,les Corts,25-29,206
384,Les Corts,2015,4,20,la Maternitat i Sant Ramon,25-29,113
385,Les Corts,2015,4,21,Pedralbes,25-29,42
386,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",25-29,14
387,Sarrià-Sant Gervasi,2015,5,23,Sarrià,25-29,68
388,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,25-29,36
389,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,25-29,92
390,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,25-29,133
391,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,25-29,86
392,Gràcia,2015,6,28,Vallcarca i els Penitents,25-29,58
393,Gràcia,2015,6,29,el Coll,25-29,24
394,Gràcia,2015,6,30,la Salut,25-29,39
395,Gràcia,2015,6,31,la Vila de Gràcia,25-29,227
396,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,25-29,104
397,Horta-Guinardó,2015,7,33,el Baix Guinardó,25-29,100
398,Horta-Guinardó,2015,7,34,Can Baró,25-29,29
399,Horta-Guinardó,2015,7,35,el Guinardó,25-29,127
400,Horta-Guinardó,2015,7,36,la Font d'en Fargues,25-29,16
401,Horta-Guinardó,2015,7,37,el Carmel,25-29,109
402,Horta-Guinardó,2015,7,38,la Teixonera,25-29,43
403,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,25-29,15
404,Horta-Guinardó,2015,7,40,Montbau,25-29,16
405,Horta-Guinardó,2015,7,41,la Vall d'Hebron,25-29,9
406,Horta-Guinardó,2015,7,42,la Clota,25-29,3
407,Horta-Guinardó,2015,7,43,Horta,25-29,60
408,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,25-29,88
409,Nou Barris,2015,8,45,Porta,25-29,63
